,typecode,generated,CAS,altitude,std,vertical_rate
0,B738,generated_CVAE,164.70577124858525,3458.015407140106,702.9162697201377,2265.5425227144115
1,B738,generated_CVAE,166.02222275302205,3533.5334912305866,696.7600829410038,2265.5425227144115
2,B738,generated_CVAE,167.41924330406266,3587.597783232599,695.1144629601916,1621.9287600603623
3,B738,generated_CVAE,168.9045575178365,3639.7555484272825,680.0005802459262,1564.7329558405117
4,B738,generated_CVAE,171.0760798617388,3704.16939085686,676.0801098146103,1932.415272887324
5,B738,generated_CVAE,173.17922003456283,3754.4975615411217,674.9076895320468,1509.8451205278545
6,B738,generated_CVAE,175.1854181731011,3797.092026769995,673.2745430200988,1277.8339568661972
7,B738,generated_CVAE,177.71758007763378,3847.179588763047,678.3237565930585,1502.6268597915619
8,B738,generated_CVAE,180.2634792519767,3895.0043851979062,680.3181403065372,1434.7438930457747
9,B738,generated_CVAE,182.93002924161178,3945.9493828203595,680.3960815143641,1528.3499286736042
10,B738,generated_CVAE,185.8316281355123,3993.6947299028548,679.9757229080006,1432.360412474849
11,B738,generated_CVAE,188.68085462850345,4032.8999273964096,682.1651853208127,1176.1559248066524
12,B738,generated_CVAE,191.58238134249834,4072.8327396016725,688.8906430618517,1197.9843661578848
13,B738,generated_CVAE,194.38367512816154,4128.992125113965,701.3958361311561,1684.781565368775
14,B738,generated_CVAE,197.09818570234887,4187.554345604879,735.2655695770198,1756.866614727427
15,B738,generated_CVAE,199.6636042143977,4249.7340891049425,782.7701053620086,1865.3923050018864
16,B738,generated_CVAE,202.13577021823323,4306.222039266851,809.9325019095961,1694.6385048572686
17,B738,generated_CVAE,204.5754589487609,4366.139347805583,834.0916418393508,1797.5192561619717
18,B738,generated_CVAE,206.945830009353,4425.101860675773,845.6828366446081,1768.8753861056966
19,B738,generated_CVAE,209.21988298811422,4481.349478216958,854.3166971195024,1687.4285262355381
20,B738,generated_CVAE,211.51189252212492,4542.327860227773,867.5730046858165,1829.3514603244466
21,B738,generated_CVAE,213.62148178990938,4603.321353904678,880.5362077303587,1829.8048103071553
