,typecode,generated,CAS,altitude,std,vertical_rate
0,B738,generated_CVAE,162.84948471357237,3420.010906739305,1234.9535622355022,2102.7232197695557
1,B738,generated_CVAE,164.00497134226674,3490.101680731623,1228.7103482903365,2102.7232197695557
2,B738,generated_CVAE,165.03709645141345,3541.295627937877,1219.2869868950984,1535.8184161875984
3,B738,generated_CVAE,166.4072890531592,3601.1867995672005,1223.8506107132046,1796.735148879717
4,B738,generated_CVAE,168.15396348485407,3662.9672050556046,1231.56479392351,1853.4121646521226
5,B738,generated_CVAE,170.10571716116658,3713.9358613915915,1238.1728261299365,1529.059690079599
6,B738,generated_CVAE,172.3060689482299,3758.84377456761,1235.202183346501,1347.2373952805622
7,B738,generated_CVAE,174.70963596048094,3808.1537410328224,1235.491119359154,1479.298993956368
8,B738,generated_CVAE,177.15904616509843,3855.256975665782,1234.5987389915638,1413.097038988797
9,B738,generated_CVAE,179.77593942958103,3896.9268455905235,1231.1595639745294,1250.0960977422367
10,B738,generated_CVAE,182.64079057545533,3931.7750789234474,1231.4043509262588,1045.4469999877163
11,B738,generated_CVAE,185.54209765548225,3972.9739432344895,1231.9871301409405,1235.9659293312698
12,B738,generated_CVAE,188.49766092680287,4018.869726664865,1234.867750907406,1376.8735029112618
13,B738,generated_CVAE,191.5300912917035,4071.2108461392,1241.6388639603947,1570.233584230051
14,B738,generated_CVAE,194.30148347418762,4126.65272889847,1256.9216171774697,1663.2564827781052
15,B738,generated_CVAE,196.787125881363,4178.882735726219,1276.8125205706353,1566.900204832449
16,B738,generated_CVAE,199.39220791542806,4230.159118268475,1285.0210554202426,1538.2914762676887
17,B738,generated_CVAE,202.05761181333528,4281.355312643311,1285.8287075074127,1535.8858312450864
18,B738,generated_CVAE,204.69747963191577,4332.051037162605,1306.6193187609135,1520.8717355788128
19,B738,generated_CVAE,207.22770450999903,4382.2926647258255,1308.8576025751902,1507.2488268966194
20,B738,generated_CVAE,209.71394172204614,4436.453714622641,1311.783116264088,1624.8314969044811
21,B738,generated_CVAE,211.99665317495413,4490.946376584611,1321.9903447027998,1634.7798588590802
22,B738,generated_CVAE,214.22732662304892,4546.56342640363,1330.9135861855414,1668.5114945705582
23,B738,generated_CVAE,216.35464234422088,4609.7709014060865,1340.4031990790845,1896.224250073703
24,B738,generated_CVAE,218.34675985212345,4674.773721051166,1353.4235506086475,1950.0845893523979
25,B738,generated_CVAE,220.33053496098867,4738.896540675773,1363.3840281547652,1923.6845887382076
26,B738,generated_CVAE,222.23575820762906,4802.622264294255,1375.5682342925886,1911.7717085544418
27,B738,generated_CVAE,224.03918316279317,4869.621958734604,1390.9679349015203,2009.9908332104953
28,B738,generated_CVAE,225.75830615541472,4937.789376248854,1405.8334681070871,2045.0225254274765
29,B738,generated_CVAE,227.43272153586463,5010.785393225072,1426.052950668349,2189.8805092865564
30,B738,generated_CVAE,229.0160023431358,5084.683400791896,1443.2260270581826,2216.940227004717
31,B738,generated_CVAE,230.52789658520456,5163.284470404219,1456.9805402970485,2358.0320883696936
32,B738,generated_CVAE,231.8176711300384,5240.598625135121,1477.1515138958928,2319.4246419270835
33,B738,generated_CVAE,232.95767758927255,5319.904660270899,1492.7321485361792,2379.18105407331
34,B738,generated_CVAE,234.038332189404,5408.177646341064,1509.5890102980145,2648.189582104953
35,B738,generated_CVAE,234.95016316347903,5490.612602057947,1525.0506190802107,2473.048671506486
36,B738,generated_CVAE,235.7490495085966,5578.68338646079,1541.8151993564306,2642.123532085299
37,B738,generated_CVAE,236.48524958132697,5667.064212567151,1551.5474483722844,2651.424783190841
38,B738,generated_CVAE,237.1628334157372,5758.03431429753,1561.3763991303504,2729.10305191136
39,B738,generated_CVAE,237.76752457528744,5845.980655054376,1567.585992145088,2638.3902227053854
40,B738,generated_CVAE,238.34106534881911,5938.113512594995,1576.160823272759,2763.9857262185533
41,B738,generated_CVAE,238.84743776461363,6034.647955872478,1584.7171363844316,2896.033298324489
42,B738,generated_CVAE,239.37872010556907,6128.881700303819,1585.464399208014,2827.012332940252
43,B738,generated_CVAE,239.8073465599204,6227.226467300511,1583.0866767652408,2950.343009900747
44,B738,generated_CVAE,240.1292672147291,6329.37779610112,1579.608678844842,3064.5398640182784
45,B738,generated_CVAE,240.43681127520227,6437.186141104068,1587.1040758910121,3234.2503500884436
46,B738,generated_CVAE,240.75488015740672,6540.690511579533,1577.9055119903705,3105.1311142639543
47,B738,generated_CVAE,241.04126034142837,6642.01340470224,1570.601752409438,3039.6867936812105
48,B738,generated_CVAE,241.3234186712301,6740.903475395538,1573.1015094337954,2966.7021207989387
49,B738,generated_CVAE,241.5873567273282,6835.562154006158,1567.6172710289225,2839.760358318593
50,B738,generated_CVAE,241.87867589666658,6932.806160532953,1561.5295222768543,2917.320195803852
51,B738,generated_CVAE,242.13518109911394,7026.2679343553455,1558.9003326805253,2803.8532146717766
52,B738,generated_CVAE,242.41602602144957,7122.9904140256485,1560.2669827089549,2901.6743901090804
53,B738,generated_CVAE,242.6618740313708,7218.899647966621,1554.5128461994811,2877.2770182291665
54,B738,generated_CVAE,242.87445634566012,7314.302677050577,1552.822502337698,2862.0908725186714
55,B738,generated_CVAE,243.2001290951135,7411.859822335233,1552.3368959,2926.714358539701
56,B738,generated_CVAE,243.44400705781374,7508.118740889511,1547.6321905275415,2887.767556628341
57,B738,generated_CVAE,243.65606791818166,7608.1791219331435,1547.7766604815897,3001.8114313089623
58,B738,generated_CVAE,243.89382317181153,7709.01243888807,1543.2040804079838,3024.999508647799
59,B738,generated_CVAE,244.10741378176388,7800.3894851652585,1538.4550597234063,2741.3113883156448
60,B738,generated_CVAE,244.2950858829906,7899.366242158838,1534.8231705523917,2969.30270980739
61,B738,generated_CVAE,244.49776898590025,7999.653323383452,1534.7997440938855,3008.612436738404
62,B738,generated_CVAE,244.6703948334828,8099.348136342047,1527.8812544919854,2990.8443887578615
63,B738,generated_CVAE,244.85273701089983,8192.161123599646,1518.8044131497652,2784.3896177279876
64,B738,generated_CVAE,245.0067294458673,8287.219759319314,1512.7535646766592,2851.7590715900155
