,typecode,generated,CAS,altitude
0,B738,generated,163.54518671798706,3873.1759888916017
1,B738,generated,164.56062267684936,4039.474972106934
2,B738,generated,165.6320203590393,4197.4495661621095
3,B738,generated,166.90828163528442,4319.934898071289
4,B738,generated,168.74706746292114,4469.587406738281
5,B738,generated,170.6732412071228,4554.648692382812
6,B738,generated,172.48966316604614,4636.165330810547
7,B738,generated,174.89127820968628,4701.937728515625
8,B738,generated,177.35742241477968,4768.1381875
9,B738,generated,179.91593487167358,4818.754116699219
10,B738,generated,182.64377618026734,4893.60928125
11,B738,generated,185.32722730636596,4948.251137207031
12,B738,generated,187.89343865966796,5042.354098144531
13,B738,generated,190.52653657531738,5138.3431525878905
14,B738,generated,193.08352130889892,5223.493854248047
15,B738,generated,195.55694819641113,5307.938451171875
16,B738,generated,198.0239338722229,5385.439550537109
17,B738,generated,200.42182161712645,5471.967395019531
18,B738,generated,202.81027602386476,5558.235792724609
19,B738,generated,205.0922064666748,5640.769576171875
20,B738,generated,207.29026415252685,5697.730278076172
21,B738,generated,209.3395048828125,5776.661883544922
22,B738,generated,211.44826289367677,5806.871944580078
23,B738,generated,213.44726531982423,5856.002405029297
24,B738,generated,215.30860777282714,5899.943811279297
25,B738,generated,217.146036239624,5936.381013427735
26,B738,generated,218.9205252456665,5991.162518554687
27,B738,generated,220.51854801940917,6073.903951660156
28,B738,generated,222.0721015319824,6127.396839599609
29,B738,generated,223.50427409553527,6225.018692871094
30,B738,generated,224.95192411994935,6289.428385498047
31,B738,generated,226.23038966464998,6360.853778320313
32,B738,generated,227.3071390695572,6474.532168701172
33,B738,generated,228.42382283115387,6544.613031738281
34,B738,generated,229.42452600193025,6629.496019775391
35,B738,generated,230.41162064266206,6694.462752685547
36,B738,generated,231.37719689416886,6760.191518310547
37,B738,generated,232.27135685181617,6806.7876027832035
38,B738,generated,233.05596152210236,6870.559037109375
39,B738,generated,233.83778073883056,6930.257596679688
40,B738,generated,234.62316029167175,6981.271442871093
41,B738,generated,235.3735677909851,7033.79882421875
42,B738,generated,235.9828204936981,7118.168181640625
43,B738,generated,236.63940669059753,7194.351609375
44,B738,generated,237.20884148979187,7271.681034179687
45,B738,generated,237.71210770988463,7351.331946289062
46,B738,generated,238.27910308647157,7425.410538085937
47,B738,generated,238.6804089336395,7530.824627197266
48,B738,generated,239.12821954154967,7593.690313232421
49,B738,generated,239.51117837524413,7681.889446289062
50,B738,generated,239.80635131835936,7771.235310546875
51,B738,generated,240.23148894500733,7840.465726074219
52,B738,generated,240.68329279327392,7910.436603515625
53,B738,generated,240.50004416656495,8158.2977180175785
54,B738,generated,240.77467074584962,8265.0963984375
55,B738,generated,241.10071021270753,8353.159966796875
56,B738,generated,241.230597946167,8487.12470703125
57,B738,generated,241.47265725708007,8586.686997558594
58,B738,generated,241.60687377929688,8705.787132568359
59,B738,generated,241.87137663269044,8803.13098486328
60,B738,generated,242.0478871307373,8902.921933105468
61,B738,generated,242.2069868927002,8989.532963378906
62,B738,generated,242.36076655578614,9076.414069335937
63,B738,generated,242.4526622619629,9171.367854492188
64,B738,generated,242.61847714233397,9254.57929345703
65,B738,generated,242.8528560333252,9334.256751953126
66,B738,generated,242.9808648071289,9430.236077148438
67,B738,generated,243.10053843688965,9540.583991699219
68,B738,generated,243.31668518066405,9613.953361328126
69,B738,generated,243.50661012268066,9700.28665625
70,B738,generated,243.7956202392578,9764.407546875
71,B738,generated,244.00039788818358,9841.440537109374
72,B738,generated,244.199587310791,9912.149893066406
73,B738,generated,244.31565663146972,10013.810282714843
74,B738,generated,244.4127608795166,10120.041628417968
75,B738,generated,244.5592128601074,10202.826655761719
76,B738,generated,244.76899520874022,10282.757084472656
77,B738,generated,245.04130671691894,10345.663548828124
78,B738,generated,245.31673225402832,10408.947890625
79,B738,generated,245.61754754638673,10469.034723632813
80,B738,generated,245.8843748626709,10540.151533203125
81,B738,generated,246.14053894042968,10631.995174804688
82,B738,generated,246.45259642028807,10703.650922363282
83,B738,generated,246.78698596191407,10779.198924072265
84,B738,generated,247.1892203979492,10851.438795654296
85,B738,generated,247.63384655761718,10914.55871069336
86,B738,generated,248.12513542175293,10974.214341064453
