,typecode,generated,CAS,altitude
0,B738,generated,164.37849446105957,3439.493239746094
1,B738,generated,165.61085050201416,3517.778189819336
2,B738,generated,166.9743237991333,3572.295748413086
3,B738,generated,168.43723641204835,3625.867502319336
4,B738,generated,170.50832178497313,3689.3795537109377
5,B738,generated,172.5767791519165,3737.4882912597654
6,B738,generated,174.64493905639648,3782.884724609375
7,B738,generated,177.27237496185302,3830.4380653076173
8,B738,generated,179.73451173400878,3878.5945762939455
9,B738,generated,182.3542746734619,3926.8318071289063
10,B738,generated,185.40412660217285,3975.2860322265624
11,B738,generated,188.13749423217774,4013.1539594726564
12,B738,generated,190.9243334503174,4054.6330844726563
13,B738,generated,193.66745038604736,4104.648440917968
14,B738,generated,196.56301802825928,4163.67193359375
15,B738,generated,199.2045863571167,4219.243251708985
16,B738,generated,201.75474320220948,4278.209549560547
17,B738,generated,204.33898152923584,4334.940192871094
18,B738,generated,206.88813441467286,4391.656685302734
19,B738,generated,209.1118580093384,4453.408699584961
20,B738,generated,211.3982575302124,4512.862035400391
21,B738,generated,213.58833964538573,4571.991997314453
22,B738,generated,215.61956032562256,4631.446365234375
23,B738,generated,217.39185527801513,4692.610265014649
24,B738,generated,219.3636707763672,4761.512939697265
25,B738,generated,221.18906124114991,4831.5076384277345
26,B738,generated,222.99063996887207,4903.350866210937
27,B738,generated,224.54524266052246,4986.701971923828
28,B738,generated,226.1315996246338,5066.299030883789
29,B738,generated,227.55869985961914,5149.352145141602
30,B738,generated,228.85178567504883,5232.678415771485
31,B738,generated,230.14176505279542,5311.76632397461
32,B738,generated,231.36429503631592,5389.498082885742
33,B738,generated,232.48840334320067,5469.082411499024
34,B738,generated,233.41917446136475,5551.824557861328
35,B738,generated,234.3273588104248,5636.3390297851565
36,B738,generated,235.20627703857423,5723.324096801758
37,B738,generated,235.9860051345825,5810.356910766602
38,B738,generated,236.6382269515991,5901.576893432617
39,B738,generated,237.12154537963866,5998.04044128418
40,B738,generated,237.68207419586182,6089.885473876953
41,B738,generated,238.2307363433838,6185.149184387207
42,B738,generated,238.8134973449707,6284.27779699707
43,B738,generated,239.35467111206054,6380.852401611328
44,B738,generated,239.8743236694336,6469.162829406739
45,B738,generated,240.28670004272462,6569.645031188965
46,B738,generated,240.7418208999634,6664.896746826172
