,typecode,generated,CAS,altitude,vertical_rate
0,B738,generated,164.49726780427793,3412.2058580220796,2364.5875241065805
1,B738,generated,165.72533789185493,3491.0254421589657,2364.5875241065805
2,B738,generated,167.017695244854,3544.250910884367,1596.7640617620434
3,B738,generated,168.41204266295927,3597.880568989098,1608.8897431419239
4,B738,generated,170.46242022382222,3662.6084516933643,1941.8364811279912
5,B738,generated,172.48053342112965,3712.852254211272,1507.3140755372324
6,B738,generated,174.44898255393846,3759.244468339204,1391.7664238379643
7,B738,generated,176.92285439902048,3806.732862312067,1424.6518191858863
8,B738,generated,179.44355492579848,3854.298416406742,1426.966622840247
9,B738,generated,182.02964725830694,3905.332139483627,1531.011692306557
10,B738,generated,184.83666338788473,3952.1928040012003,1405.819935527196
11,B738,generated,187.61439823948166,3991.283517863468,1172.7214158680338
12,B738,generated,190.4267233591536,4032.926653883619,1249.294080604534
13,B738,generated,193.21541758040036,4083.1118121015033,1505.554746536524
14,B738,generated,195.91746712403574,4142.0952241912,1769.5023626908849
15,B738,generated,198.5009186636591,4199.337463963122,1717.267193157667
16,B738,generated,201.0703573539215,4255.039231246064,1671.0530184882714
17,B738,generated,203.71854822269316,4311.475652968553,1693.0926516746695
18,B738,generated,206.24268942575912,4365.2954113246815,1614.5927506838398
19,B738,generated,208.64505736689725,4421.686906867423,1691.7448662822733
20,B738,generated,210.96819027533158,4479.274194151449,1727.6186185207414
21,B738,generated,213.19197489164338,4535.672571753975,1691.9513280758028
22,B738,generated,215.31283600084126,4593.114745294297,1723.2652062096583
23,B738,generated,217.36823794271243,4653.219614147119,1803.1460655846583
24,B738,generated,219.27323713710987,4716.293525353727,1892.2173361982445
25,B738,generated,221.11057208082838,4784.7583427217805,2053.944521041601
26,B738,generated,222.9165567547008,4857.281059484218,2175.6815028731107
27,B738,generated,224.6088868340557,4931.918840645662,2239.1334348433566
28,B738,generated,226.26569583614167,5012.236993269837,2409.5445787252047
29,B738,generated,227.8338441171334,5093.130683372363,2426.810703075803
30,B738,generated,229.31543593706954,5170.564171348591,2323.004639286839
31,B738,generated,230.62451230680912,5246.489916684705,2277.7723600834383
32,B738,generated,231.81537433307176,5324.286128015782,2333.886339932305
33,B738,generated,232.9543049540868,5404.947154316554,2419.830789023142
34,B738,generated,233.99034487630618,5488.613179780975,2509.9807639326195
35,B738,generated,234.912747545987,5574.193374380116,2567.40583797426
36,B738,generated,235.71899372168093,5661.432107751496,2617.162001141373
37,B738,generated,236.46009889309593,5748.655722361067,2616.7084382871535
38,B738,generated,237.18611324512088,5839.390679977763,2722.0487285008658
39,B738,generated,237.86437091587172,5930.538239063484,2734.426772571631
40,B738,generated,238.4832193331394,6021.413167235713,2726.2478451668767
41,B738,generated,239.06040576771466,6114.787938100205,2801.243125934745
42,B738,generated,239.61267749008064,6211.769672076708,2909.452019295104
43,B738,generated,240.09273849218258,6309.572986362563,2934.0994285756456
44,B738,generated,240.53929759297023,6406.68482047977,2913.355023516215
45,B738,generated,240.94483170977767,6502.869933682305,2885.553396076039
46,B738,generated,241.32438352570426,6596.938083477645,2822.0444938602013
47,B738,generated,241.67470542081358,6691.267465340641,2829.881455889877
48,B738,generated,242.0214364231984,6785.1146531112245,2815.4156331175222
49,B738,generated,242.36610965680717,6880.894183918451,2873.3859242167823
50,B738,generated,242.66721714509825,6978.384126677621,2924.6982827751103
51,B738,generated,242.94416383219607,7074.031620823166,2869.4248243663415
52,B738,generated,243.21210539695298,7171.921835150346,2936.7064298154123
53,B738,generated,243.48081156540877,7270.046968228511,2943.753992344931
54,B738,generated,243.76747215905178,7367.982176381454,2938.056244588319
55,B738,generated,244.01991609049685,7463.9049949818955,2877.684558013224
56,B738,generated,244.25533474938996,7559.201409374016,2858.892431763618
57,B738,generated,244.4617666057135,7654.618322969143,2862.5074078538255
58,B738,generated,244.70495603162635,7749.04117797544,2832.685650188917
59,B738,generated,244.91913720810743,7843.5456674571005,2835.13468444978
60,B738,generated,245.1308521914542,7935.568309931911,2760.6792742443326
61,B738,generated,245.33360652202924,8028.592179751457,2790.7160945863507
62,B738,generated,245.5046861509232,8120.340421323993,2752.4472471760864
63,B738,generated,245.66443246606013,8212.366251402118,2760.77490234375
64,B738,generated,245.7998352012346,8306.501482308722,2824.0569271981267
65,B738,generated,245.91622703417724,8399.323528268656,2784.6613787980164
66,B738,generated,246.0179075611028,8494.494424000315,2855.12687194978
67,B738,generated,246.1143352902506,8590.114849530659,2868.612765910343
68,B738,generated,246.20718825025583,8683.359699577888,2797.3455014168767
69,B738,generated,246.34364833111127,8775.938846278732,2777.3744010252676
70,B738,generated,246.48100645896469,8867.341703400503,2742.08571365318
71,B738,generated,246.61060455091655,8957.696604907904,2710.6470452219774
72,B738,generated,246.7560036685665,9051.50424029833,2814.2290617128465
73,B738,generated,246.9113462279966,9138.695790941829,2615.7465193049434
74,B738,generated,247.057459672212,9226.815258235594,2643.5840188129723
75,B738,generated,247.20914723278594,9316.821591624685,2700.1900016727013
76,B738,generated,247.37202715741597,9404.540263647277,2631.560160677739
77,B738,generated,247.53693943744344,9491.763061338948,2616.6839307501573
78,B738,generated,247.73629007411543,9576.064976090207,2529.0574425377836
79,B738,generated,247.94973620359482,9659.712208507162,2509.4169725086585
80,B738,generated,248.13528573062618,9746.637663826354,2607.763659575724
81,B738,generated,248.39371298686683,9828.056939251417,2442.5782627518893
82,B738,generated,248.70626545096525,9909.451861126417,2441.84765625
83,B738,generated,248.98586518025817,9991.700940648614,2467.472385665932
84,B738,generated,249.33394486357642,10070.18402447064,2354.4925146607366
85,B738,generated,249.71944974423656,10149.216748661838,2370.9817257359887
86,B738,generated,250.05920772216183,10227.724631021725,2355.2364707965994
87,B738,generated,250.47473333632615,10305.607281171284,2336.479504486776
88,B738,generated,250.9208072076216,10381.221410087373,2268.4238674826825
89,B738,generated,251.3579895173272,10458.019661376338,2303.9475386689232
90,B738,generated,251.86040310415274,10533.149234985043,2253.8872082611774
91,B738,generated,252.3552686023472,10607.340314074307,2225.732372677897
92,B738,generated,252.93857605595431,10679.837881769521,2174.9270308564232
93,B738,generated,253.51752886640034,10751.981012869963,2164.293933013224
94,B738,generated,254.10876245762898,10822.230367649952,2107.4806433997164
95,B738,generated,254.68351657204423,10891.956333143105,2091.778964794553
96,B738,generated,255.2858230859867,10964.700389887043,2182.3217023181674
97,B738,generated,255.89382047485043,11034.302828341468,2088.073153632714
98,B738,generated,256.53029394654243,11099.850367994333,1966.4261895859572
99,B738,generated,257.20626428253405,11164.978887801086,1953.8555942026132
100,B738,generated,257.90136443553706,11231.583202879014,1998.1294523378463
101,B738,generated,258.57577929749,11299.558690422307,2039.2646262988035
102,B738,generated,259.2523629445573,11368.337604543844,2063.3674236460956
103,B738,generated,259.92923280346,11436.276603825567,2038.1699784516688
104,B738,generated,260.67288344837254,11499.170291345246,1886.8106255903651
105,B738,generated,261.3416773721613,11566.649252696001,2024.36884052267
106,B738,generated,262.04016406157757,11631.414044789042,1942.9437627912469
107,B738,generated,262.6893913980095,11701.137525090522,2091.7044090443956
108,B738,generated,263.36783156310884,11768.257141943483,2013.588505588791
109,B738,generated,264.0721504653431,11836.58203125,2049.746679195529
110,B738,generated,264.76045167860514,11902.601654990554,1980.5887122166246
111,B738,generated,265.43638479391336,11966.842511954896,1927.2257089302582
112,B738,generated,266.1129385460534,12033.444715493151,1998.06610614767
113,B738,generated,266.72944654949964,12099.707880392003,1987.8949469655226
114,B738,generated,267.35100656120244,12167.540416158297,2034.9760729888224
115,B738,generated,268.05258538464756,12232.13101680573,1937.7180194230164
116,B738,generated,268.65026833176313,12301.631734099496,2085.0215188129723
117,B738,generated,269.24063487401236,12370.354747766452,2061.6904100086585
118,B738,generated,269.8569987722248,12439.268172917979,2067.4027545458125
119,B738,generated,270.4910664133221,12506.373179461194,2013.1501962964421
120,B738,generated,270.94875612811416,12581.82002223709,2263.4052832769207
121,B738,generated,271.5822763976282,12649.845305120434,2040.7584865003148
122,B738,generated,272.1158632523467,12721.218794031407,2141.2046673291875
123,B738,generated,272.6388909712246,12793.879786386178,2179.8297706431044
124,B738,generated,273.136715836609,12865.59053718317,2151.3225239097924
125,B738,generated,273.61715131706796,12936.050855537625,2113.8095506336585
126,B738,generated,274.1188904192946,13006.444560030306,2111.8111347803842
127,B738,generated,274.5550792088737,13078.693910874528,2167.4805253266686
128,B738,generated,274.9846764629374,13150.629276704187,2158.0609748897987
129,B738,generated,275.28021454702997,13225.902766353118,2258.2046894678842
130,B738,generated,275.70671978621397,13296.75594669986,2125.5954104022353
131,B738,generated,276.10456330806244,13372.609703144679,2275.6126933446158
132,B738,generated,276.44450209302926,13449.07214607604,2293.873287940806
133,B738,generated,276.7641620088284,13526.156418254093,2312.5281653416246
134,B738,generated,277.06681161106985,13602.475606108312,2289.5756356265742
135,B738,generated,277.37144035896665,13680.256022709384,2333.4124980321158
136,B738,generated,277.65147787329533,13759.122116557777,2365.9828154518264
137,B738,generated,277.94095660385017,13835.68540863114,2296.8987622008817
