,typecode,generated,CAS,altitude
0,B738,generated,165.31528971685654,3400.803495636297
1,B738,generated,166.4966525604186,3479.6508386305054
2,B738,generated,167.71867314666935,3534.471730902336
3,B738,generated,169.03825642572158,3588.9701856314045
4,B738,generated,170.99449490238354,3654.777261458201
5,B738,generated,172.97128841299147,3705.6455090555787
6,B738,generated,174.9201816784146,3751.618586709203
7,B738,generated,177.2907438258775,3797.3550692245576
8,B738,generated,179.789036115658,3846.3568030705032
9,B738,generated,182.36530077093244,3898.162299814632
10,B738,generated,185.08744244857135,3946.0723476681837
11,B738,generated,187.82540240938454,3985.103385350369
12,B738,generated,190.6830569731485,4026.039580615135
13,B738,generated,193.44070220139264,4076.1355927694594
14,B738,generated,196.06647308100995,4132.138832977978
15,B738,generated,198.6561715772827,4192.818773817385
16,B738,generated,201.25625310458864,4252.304584573097
17,B738,generated,203.86936605729298,4307.362825537408
18,B738,generated,206.3959715118719,4361.4722674150335
19,B738,generated,208.8387423202608,4417.35067742808
20,B738,generated,211.12921203178203,4474.149391935702
21,B738,generated,213.3421509348448,4528.335757750843
22,B738,generated,215.51015006257657,4585.959861988448
23,B738,generated,217.4959202939284,4645.369862853631
24,B738,generated,219.4042566458708,4706.859599499984
25,B738,generated,221.27154394953897,4776.745145281075
26,B738,generated,223.0494460282646,4849.160820551171
27,B738,generated,224.71676478803522,4926.11366237788
28,B738,generated,226.35291399052576,5004.269106614372
29,B738,generated,227.8634689237824,5081.019802489737
30,B738,generated,229.34008546662184,5163.437033845548
31,B738,generated,230.69893655563322,5246.225194119144
32,B738,generated,231.88479196272655,5321.652646066701
33,B738,generated,233.01710681177207,5400.34341983834
34,B738,generated,234.1011666105624,5481.124731495036
35,B738,generated,235.02231652285076,5560.844279800073
36,B738,generated,235.8517277828302,5644.71975788808
37,B738,generated,236.65438444988305,5733.544971598141
38,B738,generated,237.37433391190353,5820.946275388636
39,B738,generated,238.06210951795404,5909.6658321466075
40,B738,generated,238.72454112998824,6003.566645418311
41,B738,generated,239.2995143509688,6096.955973390163
42,B738,generated,239.84176152495405,6190.708156733309
43,B738,generated,240.33309370922703,6289.185254751544
44,B738,generated,240.82954097522494,6384.31510300646
45,B738,generated,241.22358860551947,6481.608807161723
46,B738,generated,241.626976090876,6575.370207683618
47,B738,generated,242.00250278325285,6669.935435246547
48,B738,generated,242.33022813350266,6764.453120524917
49,B738,generated,242.6439539798651,6857.176724995226
50,B738,generated,242.95042205002545,6949.844948576327
51,B738,generated,243.22007477987566,7047.554480651731
52,B738,generated,243.4708774201496,7146.272474362749
53,B738,generated,243.77596351328305,7242.060534444215
54,B738,generated,244.02662703753003,7338.512773875063
55,B738,generated,244.2839744396948,7433.1733035458565
56,B738,generated,244.5035627407843,7527.165272264034
57,B738,generated,244.69506102521163,7623.688566064155
58,B738,generated,244.90386515382352,7720.01973511488
59,B738,generated,245.13576681599355,7811.423179735234
60,B738,generated,245.36546111252545,7903.820754041497
61,B738,generated,245.55693215799428,7996.148996885342
62,B738,generated,245.74226802041235,8084.830800602247
63,B738,generated,245.8960234104009,8176.219163199306
64,B738,generated,246.01954594940372,8270.190456040766
65,B738,generated,246.18685319515936,8361.734024451853
66,B738,generated,246.30964735229244,8452.868718475529
67,B738,generated,246.45011629932037,8545.571154810017
68,B738,generated,246.5928337578861,8636.394553128182
69,B738,generated,246.72859741956785,8728.273120266356
70,B738,generated,246.85313159142396,8819.788865099128
71,B738,generated,247.017230218394,8909.763442154086
72,B738,generated,247.16717606989283,9001.634045633911
73,B738,generated,247.3222589900683,9090.907850090694
74,B738,generated,247.45687148333081,9179.592564103074
75,B738,generated,247.61733379480552,9266.890269479538
76,B738,generated,247.74924907179326,9354.516283831625
77,B738,generated,247.91226970105453,9439.40995934636
78,B738,generated,248.12744379917618,9520.85698281966
79,B738,generated,248.33832705433645,9603.130245791433
80,B738,generated,248.5684151736879,9684.648450925248
81,B738,generated,248.78812653955276,9768.140724446283
82,B738,generated,249.035353588718,9850.09609345166
83,B738,generated,249.29786007758798,9931.456662801522
84,B738,generated,249.5940148844981,10012.386921620417
85,B738,generated,249.9014778525669,10093.495378731224
86,B738,generated,250.27506938242863,10174.582466327489
87,B738,generated,250.69012858280095,10249.671566219291
88,B738,generated,251.11340318046615,10325.661587779245
89,B738,generated,251.62983136458698,10397.330941318738
90,B738,generated,252.15946256555995,10472.69661922416
91,B738,generated,252.67626530478296,10543.995379228456
92,B738,generated,253.21539440271567,10617.689649531409
93,B738,generated,253.80082640482792,10690.633498679354
94,B738,generated,254.40628704374046,10763.732943967987
95,B738,generated,255.0178213333161,10832.608495894858
96,B738,generated,255.65956662677215,10900.33056640625
97,B738,generated,256.3074492786664,10964.181769407936
98,B738,generated,257.0102767167412,11032.957791516834
99,B738,generated,257.6768542287792,11101.217760509484
100,B738,generated,258.42220623381513,11166.768637725147
101,B738,generated,259.1304246238196,11232.802129741598
102,B738,generated,259.8671889450788,11298.198941792101
103,B738,generated,260.5948782336202,11361.84190228806
104,B738,generated,261.303758998024,11427.755389491313
105,B738,generated,262.001153545807,11496.67196599335
106,B738,generated,262.73660932490395,11562.278625115357
107,B738,generated,263.418975534847,11626.352640000478
108,B738,generated,264.15463012881776,11693.343143377673
109,B738,generated,264.81020684640424,11761.347882987526
110,B738,generated,265.43516504788835,11828.390875604633
111,B738,generated,266.0508098408064,11896.999179070934
112,B738,generated,266.68843849321973,11963.034250791592
113,B738,generated,267.3126941377908,12026.85615393489
114,B738,generated,268.047845595723,12095.189724116122
115,B738,generated,268.64384965449875,12166.49157640259
116,B738,generated,269.23546009879493,12231.507318749205
117,B738,generated,269.7761033440802,12302.460381098046
118,B738,generated,270.4294894465118,12372.186424985679
119,B738,generated,270.9825846095192,12443.865836522244
120,B738,generated,271.4657478720982,12519.539048080289
121,B738,generated,272.0368507991255,12590.30881899583
122,B738,generated,272.6062582447184,12659.501931246818
123,B738,generated,273.171779749107,12732.456868655327
124,B738,generated,273.6724881329507,12803.010413020304
125,B738,generated,274.1861152882003,12876.501603074083
126,B738,generated,274.6338739492257,12950.450225643617
127,B738,generated,275.10266796974446,13020.094230325547
128,B738,generated,275.5904107802754,13091.944572619654
129,B738,generated,276.0427646831194,13162.80709708344
130,B738,generated,276.4394020189336,13231.93107129503
131,B738,generated,276.83471393779433,13307.369774595054
132,B738,generated,277.2186560698779,13385.835876340536
133,B738,generated,277.5543658689666,13462.75380431756
134,B738,generated,277.8862745358842,13536.759282813295
135,B738,generated,278.2355257954957,13619.046718869335
136,B738,generated,278.5700554158197,13699.85947394905
137,B738,generated,278.9251977023185,13774.57370560718
138,B738,generated,279.2403388712897,13846.954279074116
139,B738,generated,279.55111877690024,13924.166211036947
140,B738,generated,279.8376527619216,14002.185232127515
141,B738,generated,280.06586286929377,14082.116082651795
142,B738,generated,280.3072270006852,14163.695897244144
143,B738,generated,280.59208136906204,14240.794872151859
144,B738,generated,280.8439251497661,14315.55175085126
145,B738,generated,281.06564870240004,14393.841838642438
146,B738,generated,281.3123719629105,14468.033054452806
147,B738,generated,281.53867821780824,14545.114276210063
148,B738,generated,281.7332251523517,14626.758596633943
149,B738,generated,281.91241734770796,14704.869946139894
150,B738,generated,282.0992032612414,14782.582463841332
151,B738,generated,282.2801516934956,14861.41490232386
152,B738,generated,282.46695501012863,14939.612590595563
153,B738,generated,282.65016250454966,15019.347838236697
154,B738,generated,282.83440360323715,15097.360477362048
155,B738,generated,283.06602125303806,15174.77086979697
156,B738,generated,283.2827674881261,15253.492806553113
157,B738,generated,283.4312039936633,15337.109850850464
158,B738,generated,283.4998371877884,15419.870382211844
159,B738,generated,283.6521330171107,15498.147300828985
160,B738,generated,283.80346232179227,15578.485588741885
161,B738,generated,283.9303065220353,15658.2780607577
162,B738,generated,284.0707555176527,15734.256921958535
163,B738,generated,284.21753911719543,15810.973431931008
164,B738,generated,284.3597422054003,15887.430609864276
165,B738,generated,284.5066512781831,15965.228903465504
166,B738,generated,284.6389995505028,16043.931943438933
167,B738,generated,284.7641521694704,16123.54939745497
168,B738,generated,284.8612148805451,16203.3994916306
169,B738,generated,284.9775959799586,16283.71861326136
170,B738,generated,285.0890095044542,16358.446101109024
171,B738,generated,285.1653387376587,16439.058405796524
172,B738,generated,285.27827587244224,16516.864369192335
173,B738,generated,285.3649516057094,16595.617104462355
174,B738,generated,285.43544635656167,16675.30185626432
175,B738,generated,285.5261363011999,16753.348996785895
176,B738,generated,285.58841919753314,16834.01531224144
177,B738,generated,285.63518059569316,16916.10559405232
178,B738,generated,285.68019854512573,16996.85102897069
179,B738,generated,285.74703855184333,17074.971635433903
180,B738,generated,285.81501605311627,17154.088844812086
181,B738,generated,285.86596549164256,17231.9564867816
182,B738,generated,285.91040512986194,17311.255397944245
183,B738,generated,285.9219069626569,17391.78242943292
184,B738,generated,285.93494368667757,17472.827220536055
185,B738,generated,285.9547963501722,17554.295859653448
186,B738,generated,285.9728564944141,17631.541979756716
187,B738,generated,285.9879125373669,17713.192865126974
188,B738,generated,286.00183902592863,17792.907913736315
189,B738,generated,286.0159907913985,17871.12851940396
190,B738,generated,286.0237126088191,17949.971948192466
191,B738,generated,286.02734956139216,18028.145074226704
192,B738,generated,286.049538389,18106.56115051394
193,B738,generated,286.0599818958042,18185.957176441574
194,B738,generated,286.0663129880326,18266.318056063836
195,B738,generated,286.0675069805075,18344.225947921972
196,B738,generated,286.06862233272636,18422.84441032332
197,B738,generated,286.0638758082497,18502.8148330098
198,B738,generated,286.07342386342845,18581.130619709456
199,B738,generated,286.06629061261896,18659.593727127354
200,B738,generated,286.06624676302346,18737.41601164715
201,B738,generated,286.0819056369137,18816.571855906313
202,B738,generated,286.1148767568429,18892.63833176871
203,B738,generated,286.1112679444602,18970.4754039508
204,B738,generated,286.1119657932134,19048.35431318419
205,B738,generated,286.1426238392133,19124.359207930243
206,B738,generated,286.1870993713255,19199.268471152624
207,B738,generated,286.23427803987397,19273.420392255917
208,B738,generated,286.2824055502711,19351.93869434986
209,B738,generated,286.3047037687904,19426.607125525075
210,B738,generated,286.32798833905315,19497.12029619081
211,B738,generated,286.33895101760896,19576.37821310941
212,B738,generated,286.3330880376812,19652.53683888111
213,B738,generated,286.34819470500753,19727.24767693483
214,B738,generated,286.3477715144575,19802.235763270113
215,B738,generated,286.36868488133075,19876.931266706975
216,B738,generated,286.38749704147307,19952.994229132193
397,B738,generated,259.59649658203125,19588.862723214286
398,B738,generated,254.76705932617188,19498.342122395832
399,B738,generated,254.8839314778646,19499.64111328125
400,B738,generated,254.90042877197266,19529.275553385418
401,B738,generated,255.03353373209634,19592.588053385418
402,B738,generated,255.26803080240884,19650.404947916668
403,B738,generated,255.37438201904297,19712.67041015625
404,B738,generated,255.48031616210938,19774.93603515625
405,B738,generated,255.67203776041666,19838.469401041668
406,B738,generated,255.94116719563803,19898.923665364582
407,B738,generated,254.50184936523436,19562.1595703125
408,B738,generated,254.63848571777345,19624.3888671875
409,B738,generated,254.84918212890625,19695.757421875
410,B738,generated,255.1629852294922,19760.7103515625
411,B738,generated,255.37492980957032,19826.017578125
412,B738,generated,255.55868835449218,19878.6783203125
422,B738,generated,241.9500274658203,14757.791015625
423,B738,generated,242.90648651123047,14755.84228515625
424,B738,generated,243.31873321533203,14814.48876953125
425,B738,generated,243.59703826904297,14883.00146484375
426,B738,generated,243.87494659423828,14951.5146484375
427,B738,generated,244.15190887451172,15020.02734375
428,B738,generated,244.295166015625,15081.53564453125
429,B738,generated,244.43767547607422,15143.0439453125
430,B738,generated,244.59007263183594,15191.2578125
431,B738,generated,244.74281311035156,15239.47265625
432,B738,generated,244.9063720703125,15292.79296875
433,B738,generated,245.34426879882812,15385.8310546875
434,B738,generated,245.34671020507812,15452.486328125
435,B738,generated,245.3488311767578,15519.1416015625
436,B738,generated,245.38924407958984,15591.7724609375
437,B738,generated,245.77035522460938,15686.17919921875
438,B738,generated,245.53548431396484,15763.16552734375
439,B738,generated,245.30023956298828,15840.1513671875
440,B738,generated,245.02906799316406,15896.0126953125
441,B738,generated,245.0555419921875,15955.626953125
442,B738,generated,245.08163452148438,16015.24267578125
443,B738,generated,253.8972930908203,13508.474609375
444,B738,generated,253.51954650878906,13505.0546875
445,B738,generated,253.14222717285156,13501.634765625
446,B738,generated,252.76434326171875,13498.2158203125
447,B738,generated,252.94227600097656,13588.826171875
448,B738,generated,252.6983184814453,13662.615234375
449,B738,generated,252.45513916015625,13736.404296875
450,B738,generated,252.21124267578125,13810.193359375
451,B738,generated,252.3001251220703,13874.798828125
452,B738,generated,252.3879852294922,13939.4052734375
453,B738,generated,252.0912322998047,13992.3623046875
454,B738,generated,251.7941436767578,14045.3203125
455,B738,generated,251.49774169921875,14098.27734375
456,B738,generated,251.5008544921875,14258.8291015625
457,B738,generated,251.25755310058594,14332.1708984375
458,B738,generated,251.01454162597656,14405.51171875
459,B738,generated,250.77130126953125,14478.853515625
460,B738,generated,250.57571411132812,14568.05859375
461,B738,generated,250.3799591064453,14657.263671875
462,B738,generated,250.2528533935547,14713.6728515625
463,B738,generated,250.12570190429688,14770.0830078125
464,B738,generated,249.9979248046875,14826.4921875
465,B738,generated,249.9530487060547,14906.52734375
466,B738,generated,249.90713500976562,14986.5615234375
0,A320,generated,158.02177459193814,3639.9118670801963
1,A320,generated,159.84425364002104,3702.128529948573
2,A320,generated,161.6708856167332,3748.9013718635806
3,A320,generated,163.3295442750377,3792.2946701049805
4,A320,generated,165.56181876121028,3844.9570270661384
5,A320,generated,167.77380784096258,3896.6443737399195
6,A320,generated,169.61569025439601,3943.5129111505325
