Model file, Data file, Dataset Typecodes, Selected Typecode, Total loss, KL, log likelihood, MSE, test 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50.pkl, ['B738', 'A320'] ,B738, -1974.8455810546875, 73.18171691894531, -1901.6638641357422, 0.26970932860277735, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50.pkl, ['B738', 'A320'] ,B738, -1454.447509765625, 77.78778076171875, -1376.6597290039062, 0.537738011783584, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50.pkl, ['B738', 'A320'] ,A320, -2143.333740234375, 69.82698059082031, -2073.5067596435547, 0.1838988131702606, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50.pkl, ['B738', 'A320'] ,A320, -2108.613037109375, 73.40367889404297, -2035.209358215332, 0.2000826728358699, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/VAE_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50.pkl, ['A320'] ,A320, -1837.82470703125, 50.00419998168945, -1787.8205070495605, 0.4176350461014376, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/VAE_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50.pkl, ['A320'] ,A320, -1670.7354736328125, 61.71669006347656, -1609.018783569336, 0.5758887628590839, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50_2.pkl, ['B738', 'A320'] ,B738, -1981.640380859375, 73.16091918945312, -1908.4794616699219, 0.2661893407332802, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50_2.pkl, ['B738', 'A320'] ,B738, -1463.8277587890625, 77.7776107788086, -1386.050148010254, 0.5328689258622925, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50_2.pkl, ['B738', 'A320'] ,A320, -2141.115234375, 69.71001434326172, -2071.4052200317383, 0.18511234672893603, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/50/CVAE_both_B738_A320_50.pth, data_orly/data/sampled_data/combined_data/B738_A320_50_2.pkl, ['B738', 'A320'] ,A320, -2107.85498046875, 73.33189392089844, -2034.5230865478516, 0.20051382321804503, True 
